service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA+b0bes","0","0","0","0","0","1","0","20181209","20191214"
"TA+b11yu","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0rtg","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0rel","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0cq4","0","1","1","1","0","0","0","20181209","20191214"
"TA+b0pdx","0","0","0","0","0","1","1","20181209","20191214"
"TA+b09aw","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11z6","1","1","1","1","1","1","1","20181209","20191214"
"TA+b0rw3","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0n6g","0","0","1","1","1","0","0","20181209","20191214"
"TA+b0mta","0","0","1","1","1","0","0","20181209","20191214"
"TA+b11z3","0","0","0","1","1","1","0","20181209","20191214"
"TA+b11yq","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11z1","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11yv","0","0","1","1","0","1","0","20181209","20191214"
"TA+b0wef","0","0","0","0","0","1","0","20181209","20191214"
"TA+b1030","1","1","1","1","0","0","1","20181209","20191214"
"TA+b11o1","0","0","0","1","0","0","0","20181209","20191214"
"TA+b0wwt","0","0","0","0","0","1","1","20181209","20191214"
"TA+b095d","1","1","1","1","0","0","0","20181209","20191214"
"TA+b06j3","0","0","0","0","0","1","1","20181209","20191214"
"TA+b1080","0","0","0","0","0","0","1","20181209","20191214"
"TA+b0a3d","0","0","0","0","0","0","1","20181209","20191214"
"TA+b0bcp","0","0","0","0","0","1","0","20181209","20191214"
"TA+b0amj","0","0","0","0","0","0","1","20181209","20191214"
"TA+b08k1","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11za","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11zb","1","1","0","1","1","1","0","20181209","20191214"
"TA+b072w","0","0","0","0","0","1","0","20181209","20191214"
"TA+b09bv","0","0","0","0","0","1","0","20181209","20191214"
"TA+b11zc","0","1","1","1","0","0","0","20181209","20191214"
"TA+b0akq","0","0","0","0","0","1","1","20181209","20191214"
"TA+b082u","0","0","0","0","0","1","1","20181209","20191214"
"TA+b08eg","0","1","1","1","1","0","0","20181209","20191214"
"TA+b11sy","0","0","0","0","0","0","1","20181209","20191214"
"TA+b08dw","1","1","0","0","1","0","0","20181209","20191214"
"TA+b0xgq","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11zd","0","0","0","0","1","1","1","20181209","20191214"
"TA+b11ze","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0yd9","0","0","1","0","0","0","0","20181209","20191214"
"TA+b0son","0","0","1","0","0","0","0","20181209","20191214"
"TA+b0cpq","0","0","0","0","0","0","1","20181209","20191214"
"TA+b0e6t","0","0","1","0","0","0","0","20181209","20191214"
"TA+b0e6u","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11qh","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11qe","0","0","0","0","0","1","0","20181209","20191214"
"TA+b03ts","1","1","1","1","1","0","0","20181209","20191214"
"TA+b03u0","1","1","1","1","1","0","0","20181209","20191214"
