agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
"48","Matterhorn Gotthard Bahn (fo)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7042","BLS Bus Fahrplanbedürfnisse","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"131","Montreux-Vevey-Riviera (mtgn)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"290","Turtmann-Unterems-Oberems","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"143","Funiculaire Saint-Imier-Mont-Soleil SA","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"66","Nyon-St-Cergue-Morez","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"43","Chemins de fer du Jura","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"67","Transports Vallée de Joux-Yverdon-Ste-Croix (oc)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"263","Fürgangen-Bellwald","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7067","Busbetrieb Oberems-Gruben","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"93","Matterhorn Gotthard Bahn (bvz)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"49","Ferrovie Autolinee Regionali Ticinesi","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"74","Regionalps","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"155","Montreux-Vevey-Riviera (vcp)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"44","Transports Publics Neuchâtelois SA (cmn)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"64","Montreux-Oberland Bernois","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"163","Locarno-Madonna del Sasso","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"251","Andermatt Gotthard Sportbahnen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"134","Lugano-Monte San Salvatore","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"116","Cassarate-Monte Brè","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"278","Intragna-Pila Costa","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"279","Verdasio-Rasa","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"215","Wasserauen-Ebenalp","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"115","Parc dAttractions du Châtelard","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"253","Hoher Kasten Drehrestaurant und Seilbahn AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"255","Jakobsbad-Kronberg","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"213","Schwägalp-Säntis","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"122","Gurtenbahn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"264","Erlenbach-Stockhorn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"209","Aletsch Riederalp Bahnen AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"228","Kandersteg-Stock","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"159","Interlaken-Heimwehfluh","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"201","Grindelwald-First","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"216","Wengen-Männlichen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"274","Blatten-Belalp","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"141","Schilthornbahn (sbm)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"123","Harderbahn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"32","Lauterbrunnen-Mürren","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"225","Bergbahnen Destination Gstaad AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"306","Lauchernalp Bergbahnen AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"262","Bettmeralp Bahnen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"323","Gondelbahn Kandersteg-Oeschinensee","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"283","Sörenberg-Brienzer Rothorn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"3222","Sportbahnen Melchsee-Frutt (lsm) INFO+","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"145","Stanserhornbahn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"349","LTN Lungern-Turren-Bahn AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"117","Piotta-Ritom","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"114","Engelberg-Trübsee-Titlis","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"203","Engelberg-Brunni","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"13600","Kriens-Fräkmüntegg","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"107","Bürgenstockbahn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"205","Bergbahnen Beckenried-Emmetten","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"250","Dallenwil-Niederrickenbach","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"154","Treib-Seelisberg-Bahn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
